Date,close
,^BVSP
2023-01-02,106376.0
2023-01-03,104166.0
2023-01-04,105334.0
2023-01-05,107518.0
2023-01-06,108836.0
2023-01-09,109227.0
2023-01-10,110912.0
2023-01-11,111763.0
2023-01-12,111877.0
2023-01-13,110916.0
2023-01-16,109213.0
2023-01-17,111439.0
2023-01-18,112452.0
2023-01-19,113006.0
2023-01-20,112301.0
2023-01-23,111709.0
2023-01-24,113028.0
2023-01-25,114195.0
2023-01-26,114109.0
2023-01-27,112502.0
2023-01-30,111888.0
2023-01-31,113532.0
2023-02-01,112303.0
2023-02-02,109935.0
2023-02-03,108490.0
2023-02-06,108456.0
2023-02-07,107920.0
2023-02-08,109882.0
2023-02-09,107783.0
2023-02-10,108150.0
2023-02-13,108846.0
2023-02-14,107659.0
2023-02-15,109442.0
2023-02-16,109905.0
2023-02-17,109303.0
2023-02-22,107152.0
2023-02-23,107720.0
2023-02-24,105873.0
2023-02-27,105711.0
2023-02-28,104932.0
2023-03-01,104385.0
2023-03-02,103326.0
2023-03-03,103866.0
2023-03-06,104700.0
2023-03-07,104228.0
2023-03-08,106540.0
2023-03-09,105071.0
2023-03-10,103618.0
2023-03-13,103121.0
2023-03-14,102932.0
2023-03-15,102675.0
2023-03-16,103435.0
2023-03-17,101982.0
2023-03-20,100923.0
2023-03-21,100998.0
2023-03-22,100221.0
2023-03-23,97926.0
2023-03-24,98829.0
2023-03-27,99670.0
2023-03-28,101185.0
2023-03-29,101793.0
2023-03-30,103713.0
2023-03-31,101882.0
2023-04-03,101506.0
2023-04-04,101869.0
2023-04-05,100978.0
2023-04-06,100822.0
2023-04-10,101847.0
2023-04-11,106214.0
2023-04-12,106890.0
2023-04-13,106458.0
2023-04-14,106279.0
2023-04-17,106016.0
2023-04-18,106163.0
2023-04-19,103913.0
2023-04-20,104367.0
2023-04-24,103947.0
2023-04-25,103220.0
2023-04-26,102312.0
2023-04-27,102923.0
2023-04-28,104432.0
2023-05-02,101927.0
2023-05-03,101797.0
2023-05-04,102174.0
2023-05-05,105148.0
2023-05-08,106042.0
2023-05-09,107114.0
2023-05-10,107448.0
2023-05-11,108256.0
2023-05-12,108464.0
2023-05-15,109029.0
2023-05-16,108194.0
2023-05-17,109460.0
2023-05-18,110108.0
2023-05-19,110745.0
2023-05-22,110213.0
2023-05-23,109929.0
2023-05-24,108800.0
2023-05-25,110054.0
2023-05-26,110906.0
2023-05-29,110333.0
2023-05-30,108967.0
2023-05-31,108335.0
2023-06-01,110565.0
2023-06-02,112558.0
2023-06-05,112696.0
2023-06-06,114610.0
2023-06-07,115488.0
2023-06-09,117019.0
2023-06-12,117336.0
2023-06-13,116743.0
2023-06-14,119069.0
2023-06-15,119221.0
2023-06-16,118758.0
2023-06-19,119858.0
2023-06-20,119622.0
2023-06-21,120420.0
2023-06-22,118934.0
2023-06-23,118977.0
2023-06-26,118243.0
2023-06-27,117523.0
2023-06-28,116681.0
2023-06-29,118383.0
2023-06-30,118087.0
2023-07-03,119673.0
2023-07-04,119076.0
2023-07-05,119549.0
2023-07-06,117426.0
2023-07-07,118898.0
2023-07-10,117942.0
2023-07-11,117220.0
2023-07-12,117666.0
2023-07-13,119264.0
2023-07-14,117711.0
2023-07-17,118219.0
2023-07-18,117841.0
2023-07-19,117552.0
2023-07-20,118083.0
2023-07-21,120217.0
2023-07-24,121342.0
2023-07-25,122008.0
2023-07-26,122560.0
2023-07-27,119990.0
2023-07-28,120187.0
2023-07-31,121943.0
2023-08-01,121248.0
2023-08-02,120859.0
2023-08-03,120586.0
2023-08-04,119508.0
2023-08-07,119380.0
2023-08-08,119090.0
2023-08-09,118409.0
2023-08-10,118350.0
2023-08-11,118065.0
2023-08-14,116810.0
2023-08-15,116171.0
2023-08-16,115592.0
2023-08-17,114982.0
2023-08-18,115409.0
2023-08-21,114429.0
2023-08-22,116156.0
2023-08-23,118135.0
2023-08-24,117026.0
2023-08-25,115837.0
2023-08-28,117121.0
2023-08-29,118404.0
2023-08-30,117535.0
2023-08-31,115742.0
2023-09-01,117893.0
2023-09-04,117777.0
2023-09-05,117331.0
2023-09-06,115985.0
2023-09-08,115313.0
2023-09-11,116883.0
2023-09-12,117968.0
2023-09-13,118176.0
2023-09-14,119392.0
2023-09-15,118758.0
2023-09-18,118288.0
2023-09-19,117846.0
2023-09-20,118695.0
2023-09-21,116145.0
2023-09-22,116009.0
2023-09-25,115925.0
2023-09-26,114193.0
2023-09-27,114327.0
2023-09-28,115731.0
2023-09-29,116565.0
2023-10-02,115057.0
2023-10-03,113419.0
2023-10-04,113607.0
2023-10-05,113284.0
2023-10-06,114170.0
2023-10-09,115156.0
2023-10-10,116737.0
2023-10-11,117051.0
2023-10-13,115754.0
2023-10-16,116534.0
2023-10-17,115908.0
2023-10-18,114060.0
2023-10-19,114004.0
2023-10-20,113155.0
2023-10-23,112785.0
2023-10-24,113762.0
2023-10-25,112830.0
2023-10-26,114777.0
2023-10-27,113301.0
2023-10-30,112532.0
2023-10-31,113144.0
2023-11-01,115053.0
2023-11-03,118160.0
2023-11-06,118487.0
2023-11-07,119268.0
2023-11-08,119099.0
2023-11-09,119012.0
2023-11-10,120636.0
2023-11-13,120376.0
2023-11-14,123328.0
2023-11-16,124576.0
2023-11-17,125062.0
